Date,Time,Signal,Price,Open,High,Low,Close
2024.02.07,21:00:00,SELL,2034.75,2034.9,2034.94,2034.26,2034.75
2024.02.07,21:25:00,BUY,2035.59,2035.51,2035.71,2035.41,2035.59
2024.02.07,21:40:00,BUY,2035.32,2035.3,2035.7,2035.28,2035.32
2024.02.07,22:10:00,SELL,2034.7,2035.03,2035.07,2034.48,2034.7
2024.02.07,22:20:00,BUY,2035.82,2035.44,2035.86,2035.38,2035.82
2024.02.07,22:40:00,BUY,2035.45,2035.32,2035.48,2035.22,2035.45
2024.02.07,22:55:00,SELL,2034.73,2034.76,2035.1,2034.41,2034.73
2024.02.08,01:05:00,BUY,2036.07,2035.5,2036.29,2035.5,2036.07
2024.02.08,05:00:00,BUY,2036.31,2036.22,2036.59,2036.11,2036.31
2024.02.08,05:15:00,SELL,2035.29,2035.64,2035.64,2034.96,2035.29
2024.02.08,12:00:00,BUY,2035.61,2035.53,2035.93,2035.2,2035.61
2024.02.08,13:10:00,SELL,2033.14,2034.19,2034.19,2032.4,2033.14
2024.02.08,18:00:00,SELL,2030.86,2031.96,2032.26,2030.75,2030.86
2024.02.08,19:05:00,SELL,2030.43,2031.41,2031.57,2030.41,2030.43
2024.02.08,19:40:00,BUY,2032.87,2032.49,2033.17,2032.14,2032.87
2024.02.09,11:45:00,SELL,2032.15,2032.58,2032.58,2031.86,2032.15
2024.02.09,13:35:00,SELL,2032.63,2032.91,2033.13,2032.24,2032.63
2024.02.09,15:35:00,SELL,2030.73,2032.34,2032.85,2029.19,2030.73
2024.02.12,08:40:00,SELL,2023.99,2024.03,2024.07,2023.82,2023.99
2024.02.12,09:30:00,BUY,2024.79,2024.69,2024.9,2024.27,2024.79
2024.02.12,09:40:00,BUY,2024.35,2024.29,2024.53,2024.14,2024.35
2024.02.12,11:00:00,SELL,2023.65,2023.74,2023.85,2023.33,2023.65
2024.02.12,15:10:00,BUY,2026.5,2024.28,2026.72,2024.12,2026.5
2024.02.12,15:40:00,SELL,2022.1,2023.02,2023.43,2021.68,2022.1
2024.02.12,20:55:00,BUY,2021.54,2021.32,2021.61,2021.18,2021.54
2024.02.12,21:05:00,BUY,2021.55,2021.43,2021.57,2021.21,2021.55
2024.02.13,03:30:00,BUY,2020.64,2019.94,2020.71,2019.94,2020.64
2024.02.13,04:35:00,BUY,2019.68,2019.67,2019.83,2019.49,2019.68
2024.02.13,04:55:00,SELL,2018.99,2019.3,2019.34,2018.97,2018.99
2024.02.13,06:15:00,BUY,2019.32,2019.28,2019.61,2019.22,2019.32
2024.02.13,07:00:00,BUY,2019.52,2019.04,2019.59,2019.04,2019.52
2024.02.13,15:35:00,SELL,2015.47,2015.72,2017.32,2013.89,2015.47
2024.02.14,12:55:00,BUY,1992.86,1992.5,1993.4,1992.5,1992.86
2024.02.14,13:30:00,SELL,1991.48,1991.68,1991.88,1990.66,1991.48
2024.02.14,13:40:00,BUY,1992.4,1991.94,1993.28,1991.94,1992.4
2024.02.14,14:25:00,SELL,1990.63,1990.92,1991.16,1990.59,1990.63
2024.02.14,15:15:00,SELL,1990.04,1991.36,1991.4,1990.02,1990.04
2024.02.14,15:45:00,SELL,1989.76,1990.85,1991.54,1989.7,1989.76
2024.02.14,16:50:00,SELL,1988.78,1989.3,1989.9,1987.26,1988.78
2024.02.14,18:15:00,SELL,1988.88,1989.31,1990.5,1988.6,1988.88
2024.02.14,18:30:00,BUY,1992.2,1991.32,1992.86,1991.32,1992.2
